0068582,2019/05/26 15:53:23,1011,-000.2,-00.60,-273.146,-273.149,34.994,28.918,8.09,08.090,0.001,101,9999,9999,9999,9999
0068583,2019/05/26 15:53:23,1021,01413,1.32520,1.32189,1.74012,1.39831,213.189,223.466,-10.277
0068584,2019/05/26 15:53:28,1011,-000.7,-00.61,-273.136,-273.148,34.994,28.920,8.09,08.090,0.002,101,9999,9999,9999,9999
0068585,2019/05/26 15:53:28,1021,01413,1.33181,1.32454,1.73977,1.39800,222.285,226.680,-4.394
0068586,2019/05/26 15:53:33,1011,-000.7,-00.82,-273.147,-273.138,34.990,28.925,8.09,08.090,0.000,101,9999,9999,9999,9999
0068587,2019/05/26 15:53:33,1021,01413,1.32785,1.31740,1.74002,1.39799,217.158,218.997,-1.838
0068588,2019/05/26 15:53:38,1011,-000.7,-00.81,-273.144,-273.149,34.988,28.924,8.09,08.090,0.000,101,9999,9999,9999,9999
0068589,2019/05/26 15:53:38,1021,01413,1.32972,1.31984,1.73996,1.39841,218.944,221.066,-2.122
0068590,2019/05/26 15:53:43,1011,-000.7,-00.83,-273.145,-273.137,34.986,28.927,8.09,08.090,0.000,101,9999,9999,9999,9999
0068591,2019/05/26 15:53:43,1021,01413,1.32990,1.31657,1.74036,1.39855,219.052,217.406,1.645
0068592,2019/05/26 15:53:48,1011,-000.7,-00.82,-273.150,-273.145,34.991,28.936,8.09,08.090,0.001,101,9999,9999,9999,9999
0068593,2019/05/26 15:53:48,1021,01413,1.33348,1.31756,1.74025,1.39833,224.092,218.766,5.325
0068594,2019/05/26 15:53:54,1011,-000.7,-00.85,-273.148,-273.143,34.989,28.932,8.09,08.090,0.000,101,9999,9999,9999,9999
0068595,2019/05/26 15:53:54,1021,01413,1.33019,1.31859,1.73985,1.39805,220.092,220.154,-0.061
0068596,2019/05/26 15:53:59,1011,-000.7,-00.85,-273.134,-273.147,34.990,28.923,8.09,08.089,0.001,101,9999,9999,9999,9999
0068597,2019/05/26 15:53:59,1021,01413,1.32897,1.31641,1.73937,1.39768,218.951,218.160,0.790
0068598,2019/05/26 15:54:04,1011,-000.7,-00.85,-273.149,-273.149,34.989,28.927,8.09,08.090,0.000,101,9999,9999,9999,9999
0068599,2019/05/26 15:54:04,1021,01413,1.32855,1.32069,1.73957,1.39807,217.840,222.346,-4.506
0068600,2019/05/26 15:54:09,1011,-000.8,-00.85,-273.146,-273.145,34.984,28.926,8.09,08.090,0.000,101,9999,9999,9999,9999
0068601,2019/05/26 15:54:09,1021,01413,1.32921,1.32012,1.74039,1.39811,218.841,221.865,-3.023
0068602,2019/05/26 15:54:14,1011,-000.8,-00.88,-273.148,-273.141,34.987,28.926,8.09,08.090,0.000,101,9999,9999,9999,9999
0068603,2019/05/26 15:54:14,1021,01413,1.33111,1.31904,1.74038,1.39826,221.109,220.495,0.614
0068604,2019/05/26 15:54:19,1011,-000.9,-00.88,-273.143,-273.133,34.988,28.929,8.09,08.090,0.001,101,9999,9999,9999,9999
0068605,2019/05/26 15:54:19,1021,01413,1.32523,1.31826,1.73978,1.39809,213.483,219.732,-6.248
0068606,2019/05/26 15:54:24,1011,-000.9,-00.91,-273.148,-273.145,34.987,28.929,8.09,08.090,0.000,101,9999,9999,9999,9999
0068607,2019/05/26 15:54:24,1021,01413,1.33052,1.32317,1.73997,1.39807,220.528,225.148,-4.620
0068608,2019/05/26 15:54:29,1011,-000.7,-00.93,-273.146,-273.141,34.985,28.924,8.09,08.090,0.001,101,9999,9999,9999,9999
0068609,2019/05/26 15:54:29,1021,01413,1.33187,1.32108,1.74024,1.39825,222.091,222.695,-0.604
0068610,2019/05/26 15:54:34,1011,-000.7,-00.86,-273.147,-273.141,34.990,28.923,8.09,08.089,0.000,101,9999,9999,9999,9999
0068611,2019/05/26 15:54:34,1021,01413,1.33821,1.32069,1.74027,1.39841,230.194,222.072,8.122
0068612,2019/05/26 15:54:39,1011,-000.7,-00.86,-273.148,-273.145,34.988,28.934,8.09,08.090,0.001,101,9999,9999,9999,9999
0068613,2019/05/26 15:54:39,1021,01413,1.32997,1.32176,1.74000,1.39808,219.794,223.602,-3.807
0068614,2019/05/26 15:54:44,1011,-000.7,-00.87,-273.144,-273.139,34.985,28.936,8.09,08.090,0.001,101,9999,9999,9999,9999
0068615,2019/05/26 15:54:44,1021,01413,1.32330,1.31881,1.73982,1.39812,210.902,220.289,-9.387
0068616,2019/05/26 15:54:49,1011,-000.8,-00.86,-273.148,-273.144,34.992,28.925,8.09,08.090,0.000,101,9999,9999,9999,9999
0068617,2019/05/26 15:54:49,1021,01413,1.33322,1.32240,1.74007,1.39816,223.980,224.220,-0.240
0068618,2019/05/26 15:54:54,1011,-000.8,-00.89,-273.148,-273.133,34.992,28.924,8.09,08.090,0.000,101,9999,9999,9999,9999
0068619,2019/05/26 15:54:54,1021,01413,1.32664,1.32406,1.74003,1.39842,214.882,225.667,-10.784
0068620,2019/05/26 15:54:59,1011,-000.8,-00.90,-273.143,-273.141,34.995,28.924,8.09,08.090,0.000,101,9999,9999,9999,9999
0068621,2019/05/26 15:54:59,1021,01413,1.32812,1.31755,1.73996,1.39841,216.839,218.579,-1.739
0068622,2019/05/26 15:55:04,1011,-000.8,-00.88,-273.140,-273.139,34.995,28.931,8.09,08.090,0.001,101,9999,9999,9999,9999
0068623,2019/05/26 15:55:04,1021,01413,1.33118,1.32319,1.74003,1.39839,220.919,224.771,-3.851
0068624,2019/05/26 15:55:09,1011,-000.8,-00.88,-273.144,-273.145,34.994,28.922,8.09,08.090,0.000,101,9999,9999,9999,9999
0068625,2019/05/26 15:55:09,1021,01413,1.33699,1.31831,1.74017,1.39854,228.375,219.281,9.093
0068626,2019/05/26 15:55:14,1011,-000.8,-00.91,-273.144,-273.140,34.995,28.931,8.09,08.089,0.001,101,9999,9999,9999,9999
0068627,2019/05/26 15:55:14,1021,01413,1.32831,1.31817,1.73961,1.39797,217.695,219.755,-2.060
0068628,2019/05/26 15:55:19,1011,-000.7,-00.90,-273.137,-273.141,34.992,28.924,8.09,08.090,0.000,101,9999,9999,9999,9999
0068629,2019/05/26 15:55:19,1021,01413,1.32349,1.31733,1.73969,1.39786,211.546,219.011,-7.465
0068630,2019/05/26 15:55:24,1011,-000.7,-00.86,-273.148,-273.146,34.992,28.928,8.09,08.090,0.001,101,9999,9999,9999,9999
0068631,2019/05/26 15:55:24,1021,01413,1.32312,1.31996,1.73949,1.39797,210.821,221.674,-10.852
0068632,2019/05/26 15:55:29,1011,-000.7,-00.86,-273.149,-273.137,34.997,28.932,8.09,08.090,0.001,101,9999,9999,9999,9999
0068633,2019/05/26 15:55:29,1021,01413,1.32694,1.32368,1.73976,1.39800,215.892,225.758,-9.865
0068634,2019/05/26 15:55:34,1011,-000.7,-00.85,-273.144,-273.119,34.999,28.923,8.09,08.090,0.000,101,9999,9999,9999,9999
0068635,2019/05/26 15:55:34,1021,01413,1.32831,1.32162,1.73983,1.39788,217.893,223.678,-5.784
0068636,2019/05/26 15:55:39,1011,-000.6,-00.85,-273.145,-273.146,35.000,28.930,8.09,08.090,0.000,101,9999,9999,9999,9999
0068637,2019/05/26 15:55:40,1021,01413,1.32956,1.31884,1.73953,1.39788,219.454,220.587,-1.133
