0024422,2019/05/29 15:53:22,1011,-009.8,-04.39,-273.145,-273.140,34.991,17.172,8.08,08.087,0.001,101,9999,9999,9999,9999
0024423,2019/05/29 15:53:22,1021,01413,1.37232,1.30477,1.75058,1.40546,266.227,198.103,68.124
0024424,2019/05/29 15:53:27,1011,-009.4,-04.39,-273.144,-273.143,34.990,17.179,8.08,08.086,0.000,101,9999,9999,9999,9999
0024425,2019/05/29 15:53:27,1021,01413,1.37223,1.30602,1.75094,1.40525,266.452,199.847,66.604
0024426,2019/05/29 15:53:33,1011,-009.4,-04.29,-273.148,-273.142,34.991,17.173,8.08,08.087,0.001,101,9999,9999,9999,9999
0024427,2019/05/29 15:53:33,1021,01413,1.37100,1.30651,1.75089,1.40529,264.785,200.314,64.470
0024428,2019/05/29 15:53:38,1011,-009.7,-04.29,-273.145,-273.150,34.983,17.182,8.08,08.087,0.001,101,9999,9999,9999,9999
0024429,2019/05/29 15:53:38,1021,01413,1.37024,1.30866,1.75056,1.40545,263.525,202.306,61.219
0024430,2019/05/29 15:53:43,1011,-009.7,-04.36,-273.147,-273.137,34.991,17.182,8.08,08.087,0.000,101,9999,9999,9999,9999
0024431,2019/05/29 15:53:43,1021,01413,1.37174,1.30915,1.75090,1.40549,265.468,202.877,62.591
0024432,2019/05/29 15:53:48,1011,-009.7,-04.36,-273.150,-273.136,34.998,17.186,8.08,08.087,0.000,101,9999,9999,9999,9999
0024433,2019/05/29 15:53:48,1021,01413,1.37191,1.31098,1.75076,1.40528,265.970,205.101,60.868
0024434,2019/05/29 15:53:53,1011,-009.7,-04.36,-273.147,-273.141,34.988,17.188,8.08,08.087,0.000,101,9999,9999,9999,9999
0024435,2019/05/29 15:53:53,1021,01413,1.37219,1.30850,1.75081,1.40550,266.038,202.152,63.886
0024436,2019/05/29 15:53:58,1011,-009.7,-04.37,-273.144,-273.143,34.995,17.188,8.08,08.087,0.000,101,9999,9999,9999,9999
0024437,2019/05/29 15:53:58,1021,01413,1.37209,1.30789,1.75083,1.40548,265.942,201.525,64.417
0024438,2019/05/29 15:54:03,1011,-009.7,-04.37,-273.144,-273.134,34.995,17.194,8.08,08.087,0.000,101,9999,9999,9999,9999
0024439,2019/05/29 15:54:03,1021,01413,1.37267,1.30962,1.75100,1.40561,266.527,203.255,63.272
0024440,2019/05/29 15:54:08,1011,-009.7,-04.36,-273.148,-273.140,34.990,17.200,8.08,08.087,0.002,101,9999,9999,9999,9999
0024441,2019/05/29 15:54:08,1021,01413,1.37370,1.30719,1.75159,1.40608,267.260,200.166,67.094
0024442,2019/05/29 15:54:13,1011,-009.7,-04.36,-273.146,-273.135,34.991,17.200,8.08,08.087,0.000,101,9999,9999,9999,9999
0024443,2019/05/29 15:54:13,1021,01413,1.37327,1.30671,1.75090,1.40578,267.061,199.857,67.204
0024444,2019/05/29 15:54:18,1011,-009.7,-04.35,-273.143,-273.139,34.994,17.200,8.08,08.087,0.000,101,9999,9999,9999,9999
0024445,2019/05/29 15:54:18,1021,01413,1.37098,1.30570,1.75128,1.40558,264.396,199.157,65.239
0024446,2019/05/29 15:54:23,1011,-009.7,-04.36,-273.150,-273.139,34.997,17.205,8.08,08.087,0.001,101,9999,9999,9999,9999
0024447,2019/05/29 15:54:23,1021,01413,1.37179,1.30962,1.75156,1.40591,265.031,203.014,62.016
0024448,2019/05/29 15:54:28,1011,-009.7,-04.35,-273.143,-273.148,34.995,17.209,8.08,08.087,0.000,101,9999,9999,9999,9999
0024449,2019/05/29 15:54:28,1021,01413,1.37183,1.30809,1.75075,1.40555,265.478,201.608,63.869
0024450,2019/05/29 15:54:33,1011,-009.7,-04.37,-273.145,-273.127,34.991,17.206,8.08,08.087,0.000,101,9999,9999,9999,9999
0024451,2019/05/29 15:54:33,1021,01413,1.37132,1.30100,1.75075,1.40518,265.351,194.502,70.849
0024452,2019/05/29 15:54:38,1011,-009.7,-04.36,-273.144,-273.133,34.999,17.206,8.08,08.086,0.000,101,9999,9999,9999,9999
0024453,2019/05/29 15:54:38,1021,01413,1.37055,1.29705,1.75070,1.40533,264.134,190.018,74.116
0024454,2019/05/29 15:54:43,1011,-009.7,-04.36,-273.143,-273.130,34.994,17.206,8.08,08.087,0.001,101,9999,9999,9999,9999
0024455,2019/05/29 15:54:43,1021,01413,1.37138,1.29602,1.75073,1.40562,264.793,188.499,76.293
0024456,2019/05/29 15:54:48,1011,-009.8,-04.36,-273.139,-273.150,34.995,17.212,8.08,08.087,0.000,101,9999,9999,9999,9999
0024457,2019/05/29 15:54:48,1021,01413,1.37166,1.30089,1.75087,1.40522,265.760,194.366,71.393
0024458,2019/05/29 15:54:53,1011,-009.8,-04.38,-273.148,-273.144,34.997,17.212,8.08,08.087,0.000,101,9999,9999,9999,9999
0024459,2019/05/29 15:54:53,1021,01413,1.37241,1.30874,1.75086,1.40579,265.909,202.019,63.889
0024460,2019/05/29 15:54:58,1011,-009.5,-04.38,-273.140,-273.147,34.994,17.208,8.08,08.087,0.000,101,9999,9999,9999,9999
0024461,2019/05/29 15:54:58,1021,01413,1.37228,1.29981,1.75067,1.40533,266.374,192.967,73.407
0024462,2019/05/29 15:55:03,1011,-009.5,-04.32,-273.143,-273.145,34.994,17.213,8.08,08.087,0.001,101,9999,9999,9999,9999
0024463,2019/05/29 15:55:03,1021,01413,1.37218,1.30649,1.75099,1.40556,265.959,199.955,66.004
0024464,2019/05/29 15:55:08,1011,-009.8,-04.32,-273.150,-273.148,34.994,17.214,8.08,08.087,0.000,101,9999,9999,9999,9999
0024465,2019/05/29 15:55:08,1021,01413,1.37106,1.30893,1.75078,1.40555,264.475,202.522,61.953
0024466,2019/05/29 15:55:13,1011,-009.8,-04.39,-273.143,-273.148,34.996,17.207,8.08,08.087,0.000,101,9999,9999,9999,9999
0024467,2019/05/29 15:55:13,1021,01413,1.37165,1.30879,1.75113,1.40562,265.200,202.388,62.812
0024468,2019/05/29 15:55:18,1011,-009.7,-04.39,-273.136,-273.141,34.995,17.207,8.08,08.087,0.000,101,9999,9999,9999,9999
0024469,2019/05/29 15:55:19,1021,01413,1.37325,1.29965,1.75077,1.40555,267.333,192.524,74.808
0024470,2019/05/29 15:55:24,1011,-009.7,-04.35,-273.150,-273.148,34.996,17.200,8.08,08.087,0.001,101,9999,9999,9999,9999
0024471,2019/05/29 15:55:24,1021,01413,1.37149,1.30331,1.75112,1.40562,265.005,196.498,68.506
0024472,2019/05/29 15:55:29,1011,-009.7,-04.36,-273.150,-273.141,34.995,17.203,8.08,08.086,0.000,101,9999,9999,9999,9999
0024473,2019/05/29 15:55:29,1021,01413,1.37083,1.30414,1.75108,1.40554,264.254,197.486,66.767
0024474,2019/05/29 15:55:34,1011,-009.7,-04.36,-273.148,-273.146,34.999,17.202,8.08,08.087,0.000,101,9999,9999,9999,9999
0024475,2019/05/29 15:55:34,1021,01413,1.37081,1.30005,1.75114,1.40543,264.387,193.255,71.132
0024476,2019/05/29 15:55:39,1011,-009.8,-04.36,-273.143,-273.132,35.006,17.201,8.08,08.087,0.000,101,9999,9999,9999,9999
0024477,2019/05/29 15:55:39,1021,01413,1.36979,1.29594,1.75035,1.40524,263.224,188.828,74.395
0024478,2019/05/29 15:55:44,1011,-009.8,-04.39,-273.145,-273.121,34.997,17.201,8.08,08.086,0.000,101,9999,9999,9999,9999
0024479,2019/05/29 15:55:44,1021,01413,1.37076,1.29483,1.75110,1.40587,263.684,187.002,76.681
0024480,2019/05/29 15:55:49,1011,-009.7,-04.40,-273.147,-273.138,34.995,17.202,8.08,08.087,0.000,101,9999,9999,9999,9999
0024481,2019/05/29 15:55:49,1021,01413,1.37158,1.29636,1.75092,1.40564,265.045,188.904,76.140
0024482,2019/05/29 15:55:54,1011,-009.7,-04.37,-273.144,-273.141,34.994,17.198,8.08,08.087,0.001,101,9999,9999,9999,9999
0024483,2019/05/29 15:55:54,1021,01413,1.37110,1.29871,1.75078,1.40533,264.854,191.823,73.031
