0002820,2019/05/27 15:53:24,1011,-001.6,-01.62,-273.149,-273.124,35.004,26.359,8.08,08.090,0.000,101,9999,9999,9999,9999
0002821,2019/05/27 15:53:24,1021,01413,1.33701,1.31407,1.73825,1.39702,230.315,216.221,14.094
0002822,2019/05/27 15:53:29,1011,-001.6,-01.49,-273.145,-273.145,35.002,26.358,8.09,08.090,0.000,101,9999,9999,9999,9999
0002823,2019/05/27 15:53:29,1021,01413,1.33983,1.31614,1.73856,1.39731,233.648,218.163,15.484
0002824,2019/05/27 15:53:34,1011,-001.9,-01.47,-273.148,-273.150,35.002,26.362,8.08,08.089,0.000,101,9999,9999,9999,9999
0002825,2019/05/27 15:53:34,1021,01413,1.33999,1.31898,1.73830,1.39721,233.973,221.341,12.632
0002826,2019/05/27 15:53:39,1011,-001.9,-01.57,-273.143,-273.135,35.002,26.360,8.09,08.089,0.000,101,9999,9999,9999,9999
0002827,2019/05/27 15:53:39,1021,01413,1.33856,1.31837,1.73863,1.39732,231.978,220.598,11.379
0002828,2019/05/27 15:53:44,1011,-001.8,-01.57,-273.144,-273.131,35.003,26.365,8.08,08.089,0.001,101,9999,9999,9999,9999
0002829,2019/05/27 15:53:44,1021,01413,1.33788,1.31751,1.73874,1.39717,231.344,219.896,11.448
0002830,2019/05/27 15:53:49,1011,-001.8,-01.56,-273.142,-273.139,35.002,26.367,8.09,08.089,0.000,101,9999,9999,9999,9999
0002831,2019/05/27 15:53:49,1021,01413,1.33852,1.31427,1.73807,1.39698,232.336,216.452,15.883
0002832,2019/05/27 15:53:54,1011,-002.0,-01.56,-273.140,-273.143,35.004,26.372,8.08,08.089,0.000,101,9999,9999,9999,9999
0002833,2019/05/27 15:53:54,1021,01413,1.34621,1.31524,1.73845,1.39715,242.289,217.378,24.910
0002834,2019/05/27 15:53:59,1011,-002.0,-01.61,-273.146,-273.147,34.999,26.379,8.09,08.089,0.001,101,9999,9999,9999,9999
0002835,2019/05/27 15:53:59,1021,01413,1.33959,1.31850,1.73846,1.39736,233.227,220.637,12.589
0002836,2019/05/27 15:54:04,1011,-001.6,-01.60,-273.148,-273.131,35.003,26.376,8.08,08.089,0.000,101,9999,9999,9999,9999
0002837,2019/05/27 15:54:04,1021,01413,1.34294,1.31655,1.73870,1.39732,237.773,218.642,19.130
0002838,2019/05/27 15:54:09,1011,-001.6,-01.49,-273.146,-273.134,35.003,26.383,8.09,08.090,0.000,101,9999,9999,9999,9999
0002839,2019/05/27 15:54:09,1021,01413,1.34081,1.31772,1.73843,1.39719,235.109,220.021,15.087
0002840,2019/05/27 15:54:14,1011,-002.0,-01.48,-273.148,-273.148,35.003,26.390,8.08,08.089,0.000,101,9999,9999,9999,9999
0002841,2019/05/27 15:54:14,1021,01413,1.33701,1.31867,1.73813,1.39730,229.851,220.834,9.017
0002842,2019/05/27 15:54:19,1011,-002.0,-01.59,-273.144,-273.140,35.003,26.393,8.09,08.090,0.001,101,9999,9999,9999,9999
0002843,2019/05/27 15:54:19,1021,01413,1.33736,1.31512,1.73812,1.39743,230.110,216.779,13.331
0002844,2019/05/27 15:54:24,1011,-001.4,-01.58,-273.141,-273.133,35.004,26.396,8.08,08.090,0.000,101,9999,9999,9999,9999
0002845,2019/05/27 15:54:24,1021,01413,1.33613,1.31564,1.73827,1.39710,229.034,217.828,11.205
0002846,2019/05/27 15:54:29,1011,-001.4,-01.39,-273.145,-273.137,35.006,26.400,8.09,08.090,0.000,101,9999,9999,9999,9999
0002847,2019/05/27 15:54:29,1021,01413,1.33872,1.31437,1.73847,1.39714,232.428,216.452,15.976
0002848,2019/05/27 15:54:34,1011,-001.9,-01.40,-273.144,-273.140,35.002,26.407,8.08,08.089,0.000,101,9999,9999,9999,9999
0002849,2019/05/27 15:54:34,1021,01413,1.33926,1.32025,1.73839,1.39722,232.998,222.720,10.277
0002850,2019/05/27 15:54:39,1011,-001.9,-01.58,-273.147,-273.145,34.999,26.401,8.09,08.089,0.000,101,9999,9999,9999,9999
0002851,2019/05/27 15:54:39,1021,01413,1.34177,1.31462,1.73845,1.39716,236.422,216.682,19.739
0002852,2019/05/27 15:54:44,1011,-001.9,-01.58,-273.144,-273.141,35.004,26.405,8.08,08.089,0.000,101,9999,9999,9999,9999
0002853,2019/05/27 15:54:44,1021,01413,1.33944,1.31509,1.73875,1.39749,232.912,216.828,16.084
0002854,2019/05/27 15:54:49,1011,-001.9,-01.58,-273.140,-273.140,34.999,26.413,8.09,08.089,0.000,101,9999,9999,9999,9999
0002855,2019/05/27 15:54:49,1021,01413,1.33695,1.31591,1.73803,1.39709,230.074,218.071,12.002
0002856,2019/05/27 15:54:54,1011,-001.5,-01.59,-273.143,-273.147,35.000,26.418,8.08,08.090,0.000,101,9999,9999,9999,9999
0002857,2019/05/27 15:54:54,1021,01413,1.34146,1.31842,1.73851,1.39733,235.773,220.622,15.151
0002858,2019/05/27 15:54:59,1011,-001.5,-01.44,-273.140,-273.140,35.000,26.422,8.09,08.090,0.000,101,9999,9999,9999,9999
0002859,2019/05/27 15:54:59,1021,01413,1.34740,1.31663,1.73815,1.39687,244.217,219.187,25.029
0002860,2019/05/27 15:55:04,1011,-002.0,-01.43,-273.150,-273.147,35.000,26.431,8.08,08.090,0.000,101,9999,9999,9999,9999
0002861,2019/05/27 15:55:05,1021,01413,1.34244,1.31627,1.73788,1.39724,237.052,218.226,18.826
0002862,2019/05/27 15:55:10,1011,-002.0,-01.61,-273.149,-273.144,35.001,26.430,8.09,08.089,0.000,101,9999,9999,9999,9999
0002863,2019/05/27 15:55:10,1021,01413,1.33880,1.31960,1.73851,1.39735,232.228,221.874,10.354
0002864,2019/05/27 15:55:15,1011,-001.9,-01.61,-273.147,-273.138,34.998,26.440,8.08,08.089,0.000,101,9999,9999,9999,9999
0002865,2019/05/27 15:55:15,1021,01413,1.33977,1.32134,1.73874,1.39761,233.145,223.468,9.676
0002866,2019/05/27 15:55:20,1011,-001.9,-01.57,-273.141,-273.144,34.998,26.440,8.09,08.090,0.001,101,9999,9999,9999,9999
0002867,2019/05/27 15:55:20,1021,01413,1.34156,1.31767,1.73833,1.39745,235.665,219.590,16.075
0002868,2019/05/27 15:55:25,1011,-002.0,-01.57,-273.147,-273.137,34.995,26.447,8.08,08.089,0.001,101,9999,9999,9999,9999
