0058661,2019/05/30 15:53:23,1011,-007.8,-03.70,-273.144,-273.139,34.986,19.321,8.08,08.088,0.001,101,9999,9999,9999,9999
0058662,2019/05/30 15:53:23,1021,01413,1.36956,1.30343,1.74699,1.40288,265.860,199.125,66.734
0058663,2019/05/30 15:53:28,1011,-007.8,-03.71,-273.136,-273.146,34.989,19.316,8.08,08.087,0.000,101,9999,9999,9999,9999
0058664,2019/05/30 15:53:28,1021,01413,1.37054,1.30172,1.74693,1.40260,267.537,197.654,69.882
0058665,2019/05/30 15:53:33,1011,-007.7,-03.72,-273.148,-273.142,34.987,19.312,8.08,08.087,0.000,101,9999,9999,9999,9999
0058666,2019/05/30 15:53:33,1021,01413,1.36958,1.29846,1.74672,1.40278,265.991,193.807,72.184
0058667,2019/05/30 15:53:38,1011,-007.7,-03.70,-273.150,-273.141,34.988,19.310,8.08,08.087,0.000,101,9999,9999,9999,9999
0058668,2019/05/30 15:53:38,1021,01413,1.37183,1.30150,1.74692,1.40248,269.399,197.586,71.813
0058669,2019/05/30 15:53:43,1011,-007.8,-03.70,-273.150,-273.144,34.984,19.303,8.08,08.087,0.000,101,9999,9999,9999,9999
0058670,2019/05/30 15:53:43,1021,01413,1.37202,1.30349,1.74703,1.40256,269.532,199.639,69.892
0058671,2019/05/30 15:53:48,1011,-007.8,-03.73,-273.148,-273.140,34.985,19.305,8.08,08.087,0.000,101,9999,9999,9999,9999
0058672,2019/05/30 15:53:48,1021,01413,1.37128,1.30185,1.74683,1.40278,268.237,197.508,70.728
0058673,2019/05/30 15:53:53,1011,-007.7,-03.72,-273.148,-273.136,34.986,19.297,8.08,08.087,0.000,101,9999,9999,9999,9999
0058674,2019/05/30 15:53:53,1021,01413,1.36912,1.30073,1.74688,1.40240,265.956,196.845,69.111
0058675,2019/05/30 15:53:58,1011,-007.7,-03.71,-273.142,-273.136,34.983,19.298,8.08,08.087,0.001,101,9999,9999,9999,9999
0058676,2019/05/30 15:53:58,1021,01413,1.36999,1.29531,1.74658,1.40251,266.898,190.730,76.168
0058677,2019/05/30 15:54:03,1011,-007.7,-03.71,-273.149,-273.135,34.991,19.292,8.08,08.087,0.000,101,9999,9999,9999,9999
0058678,2019/05/30 15:54:03,1021,01413,1.37086,1.30065,1.74718,1.40250,268.134,196.718,71.416
0058679,2019/05/30 15:54:08,1011,-007.7,-03.70,-273.143,-273.137,34.984,19.282,8.08,08.087,0.000,101,9999,9999,9999,9999
0058680,2019/05/30 15:54:08,1021,01413,1.37063,1.30683,1.74635,1.40242,267.832,203.235,64.597
0058681,2019/05/30 15:54:13,1011,-007.9,-03.70,-273.147,-273.150,34.990,19.282,8.08,08.087,0.000,101,9999,9999,9999,9999
0058682,2019/05/30 15:54:13,1021,01413,1.37035,1.29721,1.74689,1.40262,267.267,192.745,74.521
0058683,2019/05/30 15:54:18,1011,-007.9,-03.76,-273.146,-273.126,34.985,19.277,8.08,08.087,0.000,101,9999,9999,9999,9999
0058684,2019/05/30 15:54:18,1021,01413,1.37000,1.29738,1.74696,1.40284,266.488,192.625,73.863
0058685,2019/05/30 15:54:23,1011,-007.9,-03.76,-273.150,-273.146,34.981,19.279,8.08,08.087,0.001,101,9999,9999,9999,9999
0058686,2019/05/30 15:54:23,1021,01413,1.37162,1.29872,1.74708,1.40261,268.946,194.442,74.504
0058687,2019/05/30 15:54:28,1011,-007.9,-03.75,-273.145,-273.135,34.989,19.273,8.08,08.088,0.000,101,9999,9999,9999,9999
0058688,2019/05/30 15:54:28,1021,01413,1.37132,1.29497,1.74705,1.40288,268.170,189.994,78.176
0058689,2019/05/30 15:54:33,1011,-007.9,-03.74,-273.150,-273.148,34.989,19.258,8.08,08.087,0.000,101,9999,9999,9999,9999
0058690,2019/05/30 15:54:33,1021,01413,1.37001,1.29636,1.74690,1.40261,266.834,191.836,74.998
0058691,2019/05/30 15:54:38,1011,-007.9,-03.75,-273.148,-273.135,34.984,19.258,8.08,08.087,0.000,101,9999,9999,9999,9999
0058692,2019/05/30 15:54:39,1021,01413,1.36955,1.29574,1.74716,1.40271,266.107,191.103,75.003
0058693,2019/05/30 15:54:44,1011,-007.9,-03.76,-273.150,-273.134,34.988,19.253,8.08,08.087,0.000,101,9999,9999,9999,9999
0058694,2019/05/30 15:54:44,1021,01413,1.36895,1.30057,1.74666,1.40250,265.566,196.462,69.103
0058695,2019/05/30 15:54:49,1011,-007.9,-03.76,-273.147,-273.150,34.986,19.253,8.08,08.087,0.000,101,9999,9999,9999,9999
0058696,2019/05/30 15:54:49,1021,01413,1.36900,1.30109,1.74656,1.40251,265.606,196.982,68.624
0058697,2019/05/30 15:54:54,1011,-007.8,-03.76,-273.147,-273.146,34.989,19.249,8.08,08.087,0.000,101,9999,9999,9999,9999
0058698,2019/05/30 15:54:54,1021,01413,1.37096,1.30493,1.74652,1.40238,268.360,201.300,67.060
0058699,2019/05/30 15:54:59,1011,-007.8,-03.75,-273.148,-273.140,34.991,19.247,8.08,08.087,0.001,101,9999,9999,9999,9999
0058700,2019/05/30 15:54:59,1021,01413,1.37091,1.30523,1.74664,1.40243,268.228,201.590,66.637
0058701,2019/05/30 15:55:04,1011,-007.8,-03.74,-273.127,-273.117,34.988,19.246,8.08,08.087,0.001,101,9999,9999,9999,9999
0058702,2019/05/30 15:55:04,1021,01413,1.37131,1.30476,1.74668,1.40262,268.485,200.826,67.658
0058703,2019/05/30 15:55:09,1011,-007.8,-03.73,-273.143,-273.141,34.989,19.237,8.08,08.087,0.001,101,9999,9999,9999,9999
0058704,2019/05/30 15:55:09,1021,01413,1.37286,1.30176,1.74683,1.40242,270.814,197.910,72.903
0058705,2019/05/30 15:55:14,1011,-007.8,-03.73,-273.145,-273.143,34.989,19.236,8.08,08.087,0.001,101,9999,9999,9999,9999
0058706,2019/05/30 15:55:14,1021,01413,1.37367,1.29888,1.74679,1.40243,271.854,194.773,77.081
0058707,2019/05/30 15:55:19,1011,-007.8,-03.72,-273.150,-273.140,34.991,19.237,8.08,08.087,0.001,101,9999,9999,9999,9999
0058708,2019/05/30 15:55:19,1021,01413,1.37116,1.29932,1.74684,1.40256,268.394,195.091,73.302
0058709,2019/05/30 15:55:24,1011,-007.8,-03.72,-273.146,-273.138,34.988,19.235,8.08,08.087,0.000,101,9999,9999,9999,9999
